i,fe_i_ridge_optimal
36005000100,-.50905621
36005000200,.47698867
36005000400,.7260372
36005001600,.56992036
36005001900,-.52865916
36005002000,.45690265
36005002300,-.55732816
36005002400,-1.1794155
36005002500,-.52921486
36005002701,-.70162737
36005002702,-.46777675
36005002800,-.012910057
36005003100,-.64143032
36005003300,-.62178892
36005003500,-.67338318
36005003700,-1.3817117
36005003800,-.36762321
36005003900,-.43885958
36005004001,-.28744739
36005004100,-.4379223
36005004200,.3922314
36005004300,-.58665943
36005004400,-.17943765
36005004600,-.54198647
36005004800,-.055377487
36005005001,.14770599
36005005002,.22384231
36005005100,-.31571043
36005005200,-.055203665
36005005300,.022782756
36005005400,.23863494
36005005600,-.16719985
36005005902,-.43177482
36005006000,-.57276911
36005006100,-.32749298
36005006200,.065455034
36005006300,-.069302842
36005006400,.056901272
36005006500,-.4409551
36005006700,-.25176039
36005006800,.0081309266
36005006900,-.1556486
36005007000,.13443634
36005007100,-.68258899
36005007200,.19691023
36005007300,-.73014903
36005007400,.40776679
36005007500,-.42351875
36005007600,.19168261
36005007700,-.89231241
36005007800,.38204217
36005007900,-.41836131
36005008300,-.12028005
36005008400,.28181142
36005008500,.070060425
36005008600,.59786892
36005008700,-.19650027
36005008900,-.13314368
36005009000,.17386658
36005009200,.39649892
36005009300,.097291842
36005009600,.11107092
36005009800,.47426769
36005011000,-2.3931813
36005011502,-.1783306
36005011700,-.034390818
36005011800,.6867485
36005011900,-.25507221
36005012101,-.71799314
36005012102,-1.0289366
36005012300,-.22951649
36005012500,-.51103812
36005012701,-.80328357
36005012901,-.56665212
36005013000,-.085787699
36005013100,-.36950979
36005013200,.4028303
36005013300,-.2121418
36005013500,-.28526825
36005013800,.37215492
36005014100,-.57888675
36005014300,-1.0549494
36005014400,.17344749
36005014500,-.061206821
36005014701,.14092459
36005014702,-.10317427
36005014900,-.17729041
36005015100,-.16081536
36005015200,-.21369031
36005015300,-.31438321
36005015500,-.40635887
36005015700,-.090839833
36005015800,-.002981757
