j,fe_j_ridge_optimal
36005000200,-3.9283798
36005000400,-2.9478467
36005001600,-2.7180002
36005001900,-2.8765032
36005002000,-3.6281369
36005002300,-5.5736694
36005002400,-3.2468979
36005002500,-3.3453701
36005002701,-4.137362
36005002702,-2.6776953
36005002800,-2.7940569
36005003100,-2.1966774
36005003300,-3.034904
36005003500,-3.0486546
36005003700,-5.1564202
36005003800,-6.6400175
36005003900,-2.8440132
36005004001,-3.9865525
36005004100,-2.681597
36005004200,-2.131412
36005004300,-2.2338197
36005004400,-2.364078
36005004600,-3.2423048
36005004800,-3.7061121
36005005001,-4.5534406
36005005002,-3.3313711
36005005100,-1.9238185
36005005200,-2.5494065
36005005300,-4.2269692
36005005400,-3.3005865
36005005600,-4.7694306
36005005902,-2.7597051
36005006000,-2.8023105
36005006100,-2.1038492
36005006200,-3.9733942
36005006300,-2.6364474
36005006400,-5.5951915
36005006500,-.7369737
36005006700,-2.7461224
36005006800,-3.2152641
36005006900,-3.5612495
36005007000,-3.3417308
36005007100,-2.3964515
36005007200,-3.3081164
36005007300,-2.8054848
36005007400,-4.438477
36005007500,-3.0260427
36005007600,-3.5380797
36005007700,-2.6639695
36005007800,-3.5131185
36005007900,-2.9159837
36005008300,-1.855585
36005008400,-4.4844408
36005008500,-2.4155755
36005008600,-4.6205196
36005008700,-2.1435709
36005008900,-2.2772706
36005009000,-2.2101822
36005009200,-2.3972878
36005009300,-1.0362136
36005009600,-1.4959548
36005009800,-2.4067781
36005011000,-2.8997507
36005011502,-2.0183411
36005011700,-.74654919
36005011800,-2.2401211
36005011900,-2.3303833
36005012101,-4.1548514
36005012102,-4.4533443
36005012300,-3.3749537
36005012500,-3.9778252
36005012701,-2.81317
36005012901,-2.8937612
36005013000,-4.9210358
36005013100,-3.3561149
36005013200,-2.3140857
36005013300,-3.21258
36005013500,-5.3065343
36005013800,-3.330199
36005014100,-3.2052979
36005014300,-3.7113411
36005014400,-3.2307949
36005014500,-2.4456625
36005014701,-3.1561756
36005014702,-3.4041011
36005014900,-2.2112439
36005015100,-3.5824065
36005015200,-2.6411448
36005015300,-3.7084665
36005015500,-1.673676
36005015700,-2.6422493
36005015800,-2.528476
36005015900,-2.0051193
36005016000,-2.9567339
36005016100,-2.4676092
36005016200,-2.6581666
36005016400,-2.6790521
36005016500,-2.3392701
36005016600,-2.7017126
36005016700,-2.5726092
36005016900,-2.941663
36005017300,-3.1763239
36005017500,-3.3060453
36005017701,-2.8572803
36005017702,-3.5528517
36005017901,-3.8212595
36005017902,-4.3331943
36005018101,-3.8900495
36005018102,-2.9095547
36005018301,-2.4765253
36005018302,-2.4072647
36005018400,-2.7834563
36005018500,-2.6205616
36005018900,-2.6758924
36005019300,-3.390131
36005019400,-2.3503196
36005019500,-2.4688721
36005019700,-2.3216751
36005019900,-2.3062351
36005020000,-1.1069283
36005020100,-2.7295179
36005020200,-2.7178912
36005020400,-2.1244698
36005020501,-3.7046084
36005020502,-4.3653469
36005020601,-3.1321077
36005020900,-3.3335018
36005021001,-2.1491318
36005021002,-3.2279496
36005021100,-3.0374064
36005021200,-3.0520177
36005021301,-4.4573126
36005021302,-3.2407329
36005021501,-2.8920326
36005021502,-2.9509161
36005021601,-2.0222614
36005021602,-2.6003678
36005021700,-3.1316519
36005021800,-3.4036601
36005021900,-2.3398616
36005022000,-3.6007144
36005022101,-3.3282335
36005022102,-3.4636414
36005022200,-2.601362
36005022300,-3.2165356
36005022401,-3.0363259
36005022403,-2.8096073
36005022404,-3.2940361
36005022500,-4.9948354
36005022701,-3.717325
36005022702,-3.6601899
36005022703,-4.4634929
36005022800,-3.287003
36005022901,-2.5875323
36005022902,-3.994221
36005023000,-3.6177986
36005023100,-2.6704214
36005023200,-1.5281518
36005023301,-2.9923577
36005023302,-4.5674229
36005023501,-3.9672854
36005023502,-3.1874514
36005023600,-3.2450826
36005023702,-1.6948755
36005023703,-2.8376129
36005023704,-3.9428883
36005023800,-1.928124
36005023900,-2.6068611
36005024000,-3.5734215
36005024100,-2.8083463
36005024300,-2.5477159
36005024400,-2.8690643
36005024501,-3.395721
36005024502,-4.2585998
36005024600,-3.2477608
36005024700,-4.1720891
36005024800,-2.4561458
36005024900,-4.5684114
36005025000,-2.9078889
36005025100,-2.5000386
36005025200,-3.0177312
36005025300,-2.5419989
36005025400,-3.047384
36005025500,-2.5411325
36005025600,-2.3908944
36005025700,-3.410197
36005026100,-1.2950448
36005026300,-1.9337428
36005026400,-2.9974566
36005026500,-2.3587499
36005026601,-1.7830644
36005026602,-2.5022585
36005026701,-3.3271604
36005026702,-3.5338502
36005026900,-2.2643001
36005027300,-2.6533737
36005027401,-3.1076059
